Customer ID,Gender,Age,Subscription Length (Months),Monthly Charges,Total Charges,Payment Method,Contract Type,Internet Service,Customer Support Calls,Churn
CUST0001,Male,71,23,63.42,1458.66,Bank Transfer,Monthly,DSL,1,No
CUST0002,Female,34,26,81.44,2117.44,Credit Card,Monthly,DSL,3,No
CUST0003,Male,26,21,68.19,1431.99,Credit Card,Two-Year,DSL,9,No
CUST0004,Male,50,22,25.73,566.06,PayPal,Monthly,No Internet,9,Yes
CUST0005,Male,70,58,42.47,2463.26,PayPal,One-Year,Fiber Optic,8,No
CUST0006,Female,37,7,91.53,640.71,Bank Transfer,Monthly,No Internet,7,No
CUST0007,Male,30,14,79.3,1110.2,Bank Transfer,One-Year,Fiber Optic,2,No
CUST0008,Male,45,15,60.1,901.5,Credit Card,One-Year,DSL,8,No
CUST0009,Male,65,53,33.01,1749.53,PayPal,One-Year,No Internet,4,No
CUST0010,Female,46,7,37.19,260.33,Bank Transfer,One-Year,DSL,2,No
CUST0011,Male,30,9,75.88,682.92,Bank Transfer,One-Year,Fiber Optic,4,No
CUST0012,Male,63,51,86.61,4417.11,Bank Transfer,Monthly,Fiber Optic,9,No
CUST0013,Male,52,48,70.43,3380.64,Bank Transfer,One-Year,Fiber Optic,3,No
CUST0014,Male,78,8,82.86,662.88,Bank Transfer,Monthly,DSL,7,Yes
CUST0015,Female,23,50,79.0,3950.0,Bank Transfer,One-Year,Fiber Optic,4,No
CUST0016,Male,35,59,23.47,1384.73,Credit Card,Two-Year,DSL,9,No
CUST0017,Female,68,23,48.16,1107.68,PayPal,One-Year,No Internet,7,No
CUST0018,Female,22,29,23.77,689.33,PayPal,Two-Year,Fiber Optic,8,Yes
CUST0019,Female,64,18,31.17,561.06,Bank Transfer,One-Year,Fiber Optic,3,No
CUST0020,Male,42,31,88.23,2735.13,PayPal,One-Year,Fiber Optic,6,No
CUST0021,Female,19,30,52.56,1576.8,PayPal,One-Year,No Internet,1,Yes
CUST0022,Male,27,52,58.18,3025.36,PayPal,Two-Year,Fiber Optic,5,No
CUST0023,Female,73,39,26.06,1016.34,Bank Transfer,Two-Year,DSL,7,Yes
CUST0024,Female,47,35,38.1,1333.5,Bank Transfer,One-Year,DSL,6,Yes
CUST0025,Female,67,18,30.72,552.96,PayPal,Monthly,Fiber Optic,6,Yes
CUST0026,Female,76,59,28.56,1685.04,PayPal,One-Year,Fiber Optic,7,Yes
CUST0027,Female,62,42,67.42,2831.64,Bank Transfer,Two-Year,No Internet,6,No
CUST0028,Female,22,39,33.12,1291.68,Credit Card,One-Year,No Internet,4,Yes
CUST0029,Female,72,17,66.88,1136.96,PayPal,Two-Year,No Internet,6,Yes
CUST0030,Female,73,14,15.26,213.64,Credit Card,Two-Year,Fiber Optic,9,Yes
CUST0031,Male,50,31,22.76,705.56,PayPal,Two-Year,No Internet,2,Yes
CUST0032,Male,71,24,34.71,833.04,Credit Card,One-Year,No Internet,4,Yes
CUST0033,Female,18,35,63.73,2230.55,Credit Card,Two-Year,DSL,6,No
CUST0034,Female,35,44,70.83,3116.52,Credit Card,Two-Year,No Internet,8,Yes
CUST0035,Female,49,45,49.84,2242.8,Bank Transfer,One-Year,DSL,1,No
CUST0036,Male,64,34,50.12,1704.08,Credit Card,Two-Year,DSL,3,No
CUST0037,Female,66,3,75.21,225.63,Credit Card,One-Year,No Internet,6,Yes
CUST0038,Male,28,37,11.42,422.54,Credit Card,Two-Year,DSL,0,No
CUST0039,Male,38,43,40.7,1750.1,PayPal,Monthly,Fiber Optic,1,Yes
CUST0040,Male,43,40,83.68,3347.2,Credit Card,Monthly,Fiber Optic,8,Yes
CUST0041,Male,42,26,64.29,1671.54,PayPal,Two-Year,No Internet,9,Yes
CUST0042,Male,39,55,40.35,2219.25,Credit Card,Monthly,Fiber Optic,6,No
CUST0043,Female,76,23,91.5,2104.5,Credit Card,One-Year,DSL,9,No
CUST0044,Female,44,44,79.54,3499.76,Bank Transfer,Monthly,Fiber Optic,6,No
CUST0045,Female,66,39,33.84,1319.76,PayPal,Two-Year,No Internet,5,No
CUST0046,Female,30,15,68.08,1021.2,Credit Card,Two-Year,No Internet,2,No
CUST0047,Female,50,56,63.62,3562.72,PayPal,One-Year,DSL,9,Yes
CUST0048,Male,51,49,46.11,2259.39,PayPal,Two-Year,No Internet,2,No
CUST0049,Female,58,4,43.03,172.12,Bank Transfer,One-Year,Fiber Optic,1,Yes
CUST0050,Female,52,29,40.92,1186.68,Bank Transfer,Monthly,No Internet,5,Yes
CUST0051,Male,18,22,65.54,1441.88,Bank Transfer,Monthly,DSL,3,Yes
CUST0052,Female,38,25,49.82,1245.5,Bank Transfer,One-Year,No Internet,4,Yes
CUST0053,Male,65,13,84.87,1103.31,Bank Transfer,One-Year,Fiber Optic,2,No
CUST0054,Female,72,18,70.26,1264.68,Bank Transfer,Two-Year,DSL,5,No
CUST0055,Male,23,33,16.29,537.57,Bank Transfer,Monthly,Fiber Optic,2,Yes
CUST0056,Female,45,16,67.62,1081.92,Bank Transfer,One-Year,DSL,7,No
CUST0057,Female,34,45,34.4,1548.0,Credit Card,Monthly,No Internet,8,No
CUST0058,Male,22,42,63.35,2660.7,PayPal,One-Year,DSL,3,No
CUST0059,Male,48,44,71.21,3133.24,Bank Transfer,Monthly,DSL,8,Yes
CUST0060,Male,22,2,30.77,61.54,Bank Transfer,Two-Year,No Internet,6,No
CUST0061,Male,55,55,51.12,2811.6,PayPal,Monthly,Fiber Optic,2,No
CUST0062,Male,20,35,27.13,949.55,Credit Card,Monthly,No Internet,6,No
CUST0063,Male,70,42,14.71,617.82,PayPal,Monthly,DSL,0,No
CUST0064,Male,40,34,44.06,1498.04,PayPal,Monthly,No Internet,2,Yes
CUST0065,Male,54,30,42.66,1279.8,Bank Transfer,Monthly,DSL,5,Yes
CUST0066,Female,70,59,99.59,5875.81,PayPal,Two-Year,No Internet,3,No
CUST0067,Female,54,55,50.17,2759.35,PayPal,One-Year,No Internet,6,No
CUST0068,Male,27,13,40.02,520.26,Bank Transfer,Monthly,Fiber Optic,2,Yes
CUST0069,Female,27,13,62.24,809.12,Bank Transfer,Two-Year,DSL,0,No
CUST0070,Female,36,18,17.99,323.82,Bank Transfer,Monthly,Fiber Optic,8,No
CUST0071,Female,34,32,96.55,3089.6,Bank Transfer,Monthly,DSL,5,No
CUST0072,Female,38,32,67.15,2148.8,PayPal,One-Year,No Internet,7,No
CUST0073,Male,31,35,77.94,2727.9,PayPal,Monthly,DSL,2,No
CUST0074,Female,26,59,25.34,1495.06,Credit Card,Two-Year,Fiber Optic,7,No
CUST0075,Male,63,39,46.85,1827.15,Credit Card,Two-Year,Fiber Optic,1,No
CUST0076,Female,18,46,48.04,2209.84,PayPal,One-Year,Fiber Optic,3,Yes
CUST0077,Female,68,52,83.96,4365.92,Credit Card,Monthly,DSL,2,Yes
CUST0078,Female,62,29,10.11,293.19,PayPal,Two-Year,Fiber Optic,9,Yes
CUST0079,Male,30,49,37.08,1816.92,Credit Card,Monthly,Fiber Optic,0,Yes
CUST0080,Female,21,29,98.31,2850.99,Bank Transfer,Monthly,Fiber Optic,6,Yes
CUST0081,Male,79,53,52.74,2795.22,Credit Card,Monthly,No Internet,9,Yes
CUST0082,Female,18,44,44.43,1954.92,Bank Transfer,One-Year,No Internet,1,No
CUST0083,Male,66,57,20.78,1184.46,Bank Transfer,Monthly,DSL,3,Yes
CUST0084,Female,57,16,97.67,1562.72,Bank Transfer,Two-Year,DSL,8,No
CUST0085,Male,49,56,11.8,660.8,Bank Transfer,Monthly,Fiber Optic,5,Yes
CUST0086,Male,51,44,76.35,3359.4,Credit Card,Two-Year,No Internet,7,No
CUST0087,Female,45,47,79.17,3720.99,PayPal,Monthly,Fiber Optic,1,No
CUST0088,Male,48,57,31.93,1820.01,Bank Transfer,Two-Year,Fiber Optic,6,Yes
CUST0089,Female,25,10,70.44,704.4,Credit Card,Two-Year,No Internet,5,No
CUST0090,Female,56,30,18.36,550.8,Bank Transfer,Monthly,No Internet,8,No
CUST0091,Female,43,25,33.13,828.25,Credit Card,Monthly,No Internet,6,No
CUST0092,Female,75,39,80.91,3155.49,Credit Card,Two-Year,DSL,0,No
CUST0093,Female,51,20,87.82,1756.4,Credit Card,One-Year,DSL,7,No
CUST0094,Female,71,5,64.76,323.8,PayPal,Monthly,Fiber Optic,9,No
CUST0095,Female,71,1,55.62,55.62,Credit Card,One-Year,DSL,2,No
CUST0096,Female,20,30,24.34,730.2,Credit Card,Monthly,No Internet,1,Yes
CUST0097,Female,76,49,15.68,768.32,PayPal,Monthly,No Internet,2,No
CUST0098,Female,67,3,20.59,61.77,PayPal,Monthly,DSL,5,No
CUST0099,Female,29,45,30.46,1370.7,Credit Card,Monthly,Fiber Optic,2,No
CUST0100,Male,18,14,40.75,570.5,PayPal,One-Year,Fiber Optic,9,Yes
CUST0101,Male,71,56,44.28,2479.68,Bank Transfer,Monthly,DSL,4,No
CUST0102,Female,61,30,41.17,1235.1,Bank Transfer,Two-Year,Fiber Optic,5,No
CUST0103,Female,22,50,31.51,1575.5,PayPal,Two-Year,Fiber Optic,7,Yes
CUST0104,Female,47,4,55.88,223.52,PayPal,One-Year,Fiber Optic,6,No
CUST0105,Female,47,18,84.28,1517.04,Credit Card,Monthly,No Internet,7,No
CUST0106,Female,76,37,35.17,1301.29,PayPal,Two-Year,No Internet,2,No
CUST0107,Female,74,25,94.81,2370.25,Credit Card,One-Year,DSL,3,No
CUST0108,Female,34,48,88.6,4252.8,Bank Transfer,Monthly,No Internet,5,No
CUST0109,Female,65,1,24.56,24.56,PayPal,Two-Year,Fiber Optic,6,No
CUST0110,Male,64,53,80.76,4280.28,Credit Card,Two-Year,No Internet,8,No
CUST0111,Female,40,46,61.71,2838.66,Credit Card,One-Year,DSL,0,Yes
CUST0112,Male,32,15,60.99,914.85,Bank Transfer,Monthly,No Internet,7,Yes
CUST0113,Female,54,9,45.19,406.71,PayPal,Monthly,Fiber Optic,7,No
CUST0114,Female,38,15,55.1,826.5,Bank Transfer,Two-Year,Fiber Optic,5,Yes
CUST0115,Male,31,49,45.75,2241.75,Credit Card,Two-Year,DSL,3,Yes
CUST0116,Female,19,57,58.58,3339.06,Credit Card,Two-Year,No Internet,2,No
CUST0117,Male,28,24,66.52,1596.48,PayPal,Monthly,No Internet,2,Yes
CUST0118,Female,68,4,70.69,282.76,Credit Card,One-Year,No Internet,5,No
CUST0119,Female,56,12,57.92,695.04,PayPal,One-Year,Fiber Optic,7,Yes
CUST0120,Male,55,59,74.93,4420.87,Bank Transfer,Monthly,DSL,6,No
CUST0121,Female,77,58,22.72,1317.76,PayPal,One-Year,No Internet,0,No
CUST0122,Male,51,37,29.08,1075.96,PayPal,Two-Year,Fiber Optic,5,Yes
CUST0123,Female,55,37,83.69,3096.53,Credit Card,One-Year,Fiber Optic,6,No
CUST0124,Male,67,43,39.03,1678.29,Credit Card,One-Year,Fiber Optic,6,Yes
CUST0125,Male,51,6,12.06,72.36,PayPal,One-Year,No Internet,8,No
CUST0126,Female,35,39,23.84,929.76,Credit Card,Two-Year,No Internet,9,No
CUST0127,Female,47,56,30.13,1687.28,Credit Card,Monthly,No Internet,4,No
CUST0128,Male,32,46,96.16,4423.36,Credit Card,Two-Year,No Internet,0,No
CUST0129,Female,44,24,61.57,1477.68,PayPal,Monthly,No Internet,1,No
CUST0130,Female,68,11,93.95,1033.45,Credit Card,Monthly,No Internet,3,No
CUST0131,Female,51,13,61.76,802.88,PayPal,Monthly,No Internet,4,No
CUST0132,Male,69,34,53.14,1806.76,Credit Card,One-Year,No Internet,8,Yes
CUST0133,Male,74,25,38.24,956.0,Bank Transfer,One-Year,No Internet,0,No
CUST0134,Male,55,7,64.57,451.99,Credit Card,Monthly,Fiber Optic,2,Yes
CUST0135,Male,50,52,22.53,1171.56,Credit Card,Monthly,No Internet,4,No
CUST0136,Male,41,4,90.84,363.36,PayPal,One-Year,DSL,2,Yes
CUST0137,Male,32,59,84.64,4993.76,PayPal,Two-Year,Fiber Optic,3,No
CUST0138,Male,77,8,38.58,308.64,Credit Card,Monthly,No Internet,2,Yes
CUST0139,Male,47,20,95.75,1915.0,Bank Transfer,Two-Year,DSL,3,Yes
CUST0140,Male,72,29,84.27,2443.83,Credit Card,One-Year,No Internet,0,No
CUST0141,Female,59,54,69.97,3778.38,Credit Card,Monthly,DSL,7,No
CUST0142,Male,68,53,20.96,1110.88,Bank Transfer,Two-Year,DSL,3,No
CUST0143,Female,34,51,53.04,2705.04,PayPal,Two-Year,DSL,6,Yes
CUST0144,Female,22,45,55.55,2499.75,Credit Card,Two-Year,DSL,1,Yes
CUST0145,Female,46,46,30.93,1422.78,PayPal,One-Year,Fiber Optic,1,No
CUST0146,Male,21,10,17.2,172.0,PayPal,One-Year,Fiber Optic,5,No
CUST0147,Male,27,43,79.91,3436.13,Bank Transfer,Two-Year,DSL,1,Yes
CUST0148,Male,73,34,20.98,713.32,Bank Transfer,Two-Year,No Internet,5,No
CUST0149,Male,34,57,63.49,3618.93,PayPal,One-Year,DSL,1,No
CUST0150,Female,27,26,94.28,2451.28,Credit Card,Two-Year,Fiber Optic,3,No
CUST0151,Male,34,41,88.85,3642.85,PayPal,Two-Year,No Internet,6,No
CUST0152,Male,77,49,35.0,1715.0,Credit Card,One-Year,Fiber Optic,7,No
CUST0153,Male,37,58,86.63,5024.54,Credit Card,Two-Year,Fiber Optic,2,Yes
CUST0154,Male,41,3,10.03,30.09,Bank Transfer,Two-Year,No Internet,8,Yes
CUST0155,Male,22,56,11.59,649.04,Credit Card,Two-Year,DSL,1,No
CUST0156,Female,51,6,64.23,385.38,Credit Card,One-Year,DSL,7,No
CUST0157,Male,23,5,42.83,214.15,PayPal,Two-Year,DSL,7,No
CUST0158,Female,70,5,44.78,223.9,Bank Transfer,One-Year,DSL,3,No
CUST0159,Male,19,54,60.8,3283.2,Credit Card,One-Year,No Internet,0,No
CUST0160,Female,30,47,27.26,1281.22,Credit Card,Monthly,No Internet,0,No
CUST0161,Male,79,23,29.06,668.38,Bank Transfer,Monthly,No Internet,1,Yes
CUST0162,Male,60,49,53.61,2626.89,PayPal,Two-Year,Fiber Optic,8,Yes
CUST0163,Female,60,9,77.88,700.92,Bank Transfer,One-Year,No Internet,1,No
CUST0164,Female,65,35,65.75,2301.25,Bank Transfer,Monthly,DSL,1,No
CUST0165,Female,28,20,36.76,735.2,Credit Card,Two-Year,Fiber Optic,5,Yes
CUST0166,Male,68,58,48.73,2826.34,Credit Card,Monthly,DSL,6,No
CUST0167,Female,64,49,25.36,1242.64,PayPal,Monthly,DSL,6,No
CUST0168,Male,74,59,16.72,986.48,Credit Card,One-Year,No Internet,8,No
CUST0169,Male,40,42,80.44,3378.48,Credit Card,One-Year,No Internet,5,Yes
CUST0170,Female,72,35,33.88,1185.8,Bank Transfer,Monthly,DSL,7,No
CUST0171,Female,33,50,26.0,1300.0,Credit Card,Monthly,DSL,5,Yes
CUST0172,Male,48,18,72.25,1300.5,PayPal,One-Year,Fiber Optic,1,No
CUST0173,Male,28,17,65.62,1115.54,Bank Transfer,Two-Year,No Internet,0,Yes
CUST0174,Female,71,24,66.99,1607.76,PayPal,One-Year,Fiber Optic,4,No
CUST0175,Female,33,3,30.6,91.8,Bank Transfer,Monthly,Fiber Optic,8,Yes
CUST0176,Female,25,32,30.94,990.08,Credit Card,Two-Year,Fiber Optic,7,No
CUST0177,Male,21,35,29.87,1045.45,Bank Transfer,Monthly,DSL,3,No
CUST0178,Male,57,38,25.64,974.32,Bank Transfer,Two-Year,Fiber Optic,4,Yes
CUST0179,Male,21,13,69.02,897.26,Credit Card,Monthly,Fiber Optic,4,No
CUST0180,Male,73,56,86.32,4833.92,Credit Card,Two-Year,DSL,5,Yes
CUST0181,Male,42,47,75.19,3533.93,PayPal,Two-Year,No Internet,2,No
CUST0182,Male,20,25,81.29,2032.25,PayPal,Monthly,No Internet,4,No
CUST0183,Female,49,9,46.43,417.87,Credit Card,Two-Year,Fiber Optic,1,No
CUST0184,Male,20,4,68.87,275.48,Credit Card,One-Year,DSL,9,No
CUST0185,Male,44,14,41.88,586.32,Credit Card,Monthly,No Internet,0,No
CUST0186,Male,46,37,57.3,2120.1,Bank Transfer,One-Year,Fiber Optic,0,No
CUST0187,Female,49,34,53.35,1813.9,Bank Transfer,Monthly,Fiber Optic,9,Yes
CUST0188,Male,67,11,25.92,285.12,Bank Transfer,Two-Year,DSL,6,No
CUST0189,Male,78,41,44.84,1838.44,Credit Card,Two-Year,Fiber Optic,1,No
CUST0190,Female,75,56,96.74,5417.44,PayPal,Two-Year,No Internet,3,Yes
CUST0191,Male,68,3,32.37,97.11,Credit Card,Monthly,DSL,4,No
CUST0192,Male,36,59,22.04,1300.36,Bank Transfer,One-Year,No Internet,6,Yes
CUST0193,Male,38,28,47.67,1334.76,Bank Transfer,One-Year,No Internet,1,No
CUST0194,Male,22,29,81.13,2352.77,Credit Card,Monthly,No Internet,5,Yes
CUST0195,Male,35,9,62.39,561.51,Credit Card,Monthly,Fiber Optic,0,No
CUST0196,Female,45,3,71.29,213.87,Bank Transfer,One-Year,Fiber Optic,6,No
CUST0197,Female,59,25,27.07,676.75,Bank Transfer,One-Year,No Internet,8,Yes
CUST0198,Female,78,34,65.71,2234.14,Bank Transfer,One-Year,No Internet,4,Yes
CUST0199,Male,39,12,39.12,469.44,Credit Card,One-Year,DSL,4,No
CUST0200,Male,38,42,85.09,3573.78,Bank Transfer,Monthly,DSL,3,No
CUST0201,Male,23,9,66.64,599.76,Bank Transfer,Monthly,Fiber Optic,2,Yes
CUST0202,Female,18,15,27.9,418.5,PayPal,Two-Year,Fiber Optic,8,Yes
CUST0203,Male,22,40,15.82,632.8,Credit Card,One-Year,DSL,4,No
CUST0204,Male,58,25,13.84,346.0,PayPal,Two-Year,No Internet,7,No
CUST0205,Female,29,5,43.43,217.15,PayPal,Monthly,Fiber Optic,8,No
CUST0206,Male,43,11,33.93,373.23,Bank Transfer,Monthly,No Internet,4,No
CUST0207,Female,63,59,68.15,4020.85,Credit Card,Two-Year,DSL,9,Yes
CUST0208,Female,51,34,54.94,1867.96,Bank Transfer,One-Year,Fiber Optic,8,No
CUST0209,Female,66,24,33.94,814.56,Credit Card,One-Year,Fiber Optic,1,No
CUST0210,Male,31,15,23.43,351.45,PayPal,One-Year,DSL,8,Yes
CUST0211,Male,43,38,21.45,815.1,Credit Card,One-Year,Fiber Optic,3,No
CUST0212,Male,62,8,87.82,702.56,Bank Transfer,Two-Year,DSL,5,No
CUST0213,Male,44,59,31.91,1882.69,Bank Transfer,Two-Year,Fiber Optic,5,No
CUST0214,Male,26,5,68.65,343.25,Bank Transfer,Monthly,DSL,5,No
CUST0215,Male,43,48,82.96,3982.08,Credit Card,One-Year,Fiber Optic,1,Yes
CUST0216,Male,74,26,65.27,1697.02,PayPal,One-Year,No Internet,6,No
CUST0217,Female,64,18,87.36,1572.48,PayPal,One-Year,No Internet,5,No
CUST0218,Male,74,6,45.32,271.92,Credit Card,Two-Year,No Internet,0,Yes
CUST0219,Female,39,37,96.06,3554.22,Bank Transfer,One-Year,Fiber Optic,1,No
CUST0220,Male,64,48,21.98,1055.04,PayPal,Two-Year,Fiber Optic,6,No
CUST0221,Male,73,13,19.19,249.47,Bank Transfer,One-Year,No Internet,0,No
CUST0222,Male,47,28,69.28,1939.84,Credit Card,One-Year,No Internet,0,No
CUST0223,Female,60,5,94.85,474.25,Bank Transfer,Monthly,DSL,0,No
CUST0224,Female,65,13,82.8,1076.4,PayPal,One-Year,DSL,7,No
CUST0225,Female,78,17,16.88,286.96,PayPal,One-Year,DSL,3,No
CUST0226,Female,34,50,35.14,1757.0,Bank Transfer,Monthly,No Internet,3,No
CUST0227,Male,43,40,93.73,3749.2,Credit Card,Two-Year,No Internet,1,Yes
CUST0228,Female,53,45,32.78,1475.1,Bank Transfer,Two-Year,No Internet,0,No
CUST0229,Male,18,32,80.31,2569.92,Credit Card,One-Year,DSL,9,No
CUST0230,Male,25,29,84.26,2443.54,Bank Transfer,Two-Year,Fiber Optic,8,No
CUST0231,Female,66,51,54.59,2784.09,PayPal,One-Year,No Internet,6,No
CUST0232,Female,52,58,44.77,2596.66,Credit Card,Monthly,Fiber Optic,3,No
CUST0233,Female,78,3,50.51,151.53,Credit Card,Monthly,Fiber Optic,5,No
CUST0234,Female,69,56,30.43,1704.08,Credit Card,One-Year,Fiber Optic,1,Yes
CUST0235,Female,32,40,90.05,3602.0,PayPal,Monthly,DSL,6,Yes
CUST0236,Female,64,34,50.56,1719.04,Bank Transfer,Monthly,Fiber Optic,1,No
CUST0237,Female,73,40,89.42,3576.8,PayPal,One-Year,No Internet,9,No
CUST0238,Female,39,27,19.51,526.77,Credit Card,One-Year,DSL,7,Yes
CUST0239,Male,31,13,98.94,1286.22,Bank Transfer,Monthly,No Internet,7,Yes
CUST0240,Female,43,45,49.89,2245.05,PayPal,Two-Year,No Internet,0,No
CUST0241,Female,45,33,14.3,471.9,Credit Card,Two-Year,DSL,7,No
CUST0242,Male,40,6,13.42,80.52,Credit Card,One-Year,No Internet,1,No
CUST0243,Female,31,24,77.16,1851.84,PayPal,One-Year,No Internet,5,No
CUST0244,Male,41,19,69.31,1316.89,PayPal,Two-Year,DSL,0,Yes
CUST0245,Male,19,16,82.19,1315.04,PayPal,Monthly,No Internet,4,No
CUST0246,Female,62,40,19.48,779.2,Credit Card,Two-Year,Fiber Optic,6,No
CUST0247,Male,43,28,13.2,369.6,PayPal,Two-Year,No Internet,9,No
